cluster_id,top_terms
0,"директор, управление, руководитель, продаж, бюджетирование, управления, развитие, b2b"
1,"legal, aml cft, cft, compliance, aml, counsel, regulatory, fintech"
2,"product, данных, аналитик, sql, требований, анализ, менеджер, продукта"
3,"management, marketing, development, strategy, sales, leadership, across, business"
4,"project, manager, delivery, management, project manager, stakeholder, program, product"
5,"подбора, интервью, руководитель, обучение, recruiter, практики, senior recruiter, найма"
6,"design, support, operations, product, business, analyst, designer, analysis"
7,"управление, проектов, руководитель, project, manager, delivery, project manager, scrum"
8,"backend, engineer, kubernetes, java, docker, python, spring, postgresql"
9,"testing, test, react, engineer, api, typescript, automation, developer"
